epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,667.482,0.10538,0.11504,0.75421,0.96601,0.85586,0.92556,0.70315,0.82795,0.53879,0.9612,0.000346625,0.000346625,0.000346625
75,676.662,0.10351,0.11434,0.75399,0.96216,0.84518,0.92176,0.705,0.82531,0.53734,0.95679,0.00033425,0.00033425,0.00033425
76,685.384,0.09488,0.10895,0.75412,0.97866,0.84381,0.92295,0.70885,0.82163,0.55127,0.95436,0.000321875,0.000321875,0.000321875
77,694.095,0.09267,0.10692,0.75219,0.96416,0.8496,0.92933,0.70624,0.83123,0.54301,0.96221,0.0003095,0.0003095,0.0003095
78,702.745,0.09303,0.10851,0.75432,0.96497,0.852,0.92658,0.70462,0.82597,0.54649,0.95414,0.000297125,0.000297125,0.000297125
79,711.373,0.09062,0.10443,0.75415,0.96776,0.8482,0.92613,0.70405,0.82674,0.545,0.9621,0.00028475,0.00028475,0.00028475
80,720.33,0.08844,0.10311,0.75431,0.97073,0.85095,0.93272,0.71119,0.82305,0.54985,0.95873,0.000272375,0.000272375,0.000272375
81,729.341,0.08394,0.09835,0.75255,0.9705,0.84535,0.92311,0.70861,0.82424,0.54672,0.95558,0.00026,0.00026,0.00026
82,738.02,0.0787,0.09665,0.75285,0.97301,0.84985,0.92485,0.70084,0.82498,0.5547,0.95791,0.000247625,0.000247625,0.000247625
83,746.801,0.07572,0.09371,0.75367,0.96441,0.84785,0.92979,0.70591,0.82214,0.55811,0.95984,0.00023525,0.00023525,0.00023525
84,755.405,0.07336,0.09346,0.75307,0.95892,0.85171,0.92688,0.70473,0.82727,0.55219,0.96017,0.000222875,0.000222875,0.000222875
85,764.075,0.06869,0.08951,0.75292,0.96068,0.84911,0.92552,0.70379,0.82459,0.56035,0.95819,0.0002105,0.0002105,0.0002105
86,773.498,0.06322,0.08619,0.7511,0.96747,0.84821,0.92719,0.70839,0.82089,0.55531,0.95935,0.000198125,0.000198125,0.000198125
87,782.316,0.06126,0.08394,0.75228,0.96971,0.8503,0.92949,0.71425,0.81627,0.56347,0.95469,0.00018575,0.00018575,0.00018575
88,790.96,0.05786,0.08016,0.75281,0.96031,0.85475,0.92908,0.71217,0.8208,0.56671,0.95923,0.000173375,0.000173375,0.000173375
89,799.76,0.052,0.07546,0.75331,0.96532,0.84817,0.92946,0.70629,0.81952,0.57432,0.95585,0.000161,0.000161,0.000161
90,809.007,0.05281,0.07539,0.7515,0.96217,0.85378,0.92966,0.71259,0.81954,0.58101,0.9585,0.000148625,0.000148625,0.000148625
91,827.721,0.05086,0.07396,0.75276,0.97217,0.84548,0.92724,0.70779,0.81366,0.57939,0.95699,0.00013625,0.00013625,0.00013625
92,836.404,0.04692,0.07049,0.75045,0.96012,0.85273,0.92682,0.71015,0.8154,0.5793,0.95823,0.000123875,0.000123875,0.000123875
93,845.167,0.04338,0.06677,0.75173,0.96457,0.85448,0.93194,0.71165,0.81783,0.57904,0.95922,0.0001115,0.0001115,0.0001115
94,854.015,0.04138,0.06538,0.7522,0.95922,0.85353,0.92956,0.71391,0.81447,0.58085,0.96005,9.9125e-05,9.9125e-05,9.9125e-05
95,862.703,0.03677,0.06084,0.75406,0.96411,0.85375,0.92901,0.71029,0.81369,0.59593,0.96166,8.675e-05,8.675e-05,8.675e-05
96,871.282,0.03616,0.0589,0.75113,0.96804,0.84925,0.92669,0.70821,0.81582,0.59223,0.96146,7.4375e-05,7.4375e-05,7.4375e-05
97,879.981,0.03375,0.05684,0.7513,0.96352,0.85376,0.93093,0.7041,0.81742,0.59828,0.96288,6.2e-05,6.2e-05,6.2e-05
98,888.642,0.03021,0.05266,0.75275,0.97449,0.84268,0.92908,0.71003,0.81513,0.60312,0.96307,4.9625e-05,4.9625e-05,4.9625e-05
99,897.205,0.02806,0.04994,0.75005,0.96929,0.84925,0.92891,0.71044,0.81654,0.61052,0.96329,3.725e-05,3.725e-05,3.725e-05
100,905.915,0.02565,0.04663,0.75205,0.97275,0.84922,0.92549,0.71246,0.81527,0.61577,0.96329,2.4875e-05,2.4875e-05,2.4875e-05
